filer_cpf_id,year,total_expenditure
15444,2026,18619.56
15451,2024,949.43
15451,2025,1024.0
15451,2026,78.0
15454,2023,66.07
15463,2023,9961.77
15463,2024,10676.34
15463,2025,11023.98
15463,2026,6875.61
15465,2023,136922.84
15465,2024,76137.33
15465,2025,178079.16
15465,2026,16719.88
15466,2023,1207.36
15466,2024,7100.56
15466,2025,5674.42
15466,2026,3686.59
15470,2023,13504.42
15470,2024,11990.77
15470,2025,14336.77
15470,2026,76002.22
15472,2023,8334.92
15472,2024,11851.74
15472,2025,11969.75
15472,2026,6918.72
15483,2023,23194.26
15483,2024,24155.57
15483,2025,20336.44
15483,2026,50208.13
15488,2023,86710.39
15488,2024,20903.2
15488,2025,2569.0
15488,2026,1440.0
15490,2023,38297.25
15490,2024,102634.87
15490,2025,70797.95
15490,2026,17995.92
15491,2023,7281.9
15491,2024,18.0
15491,2025,21.0
15491,2026,12.0
15498,2023,28572.85
15498,2024,41757.8
15498,2025,35697.67
15498,2026,18810.69
15506,2023,229.58
15519,2025,2244.98
15519,2026,24956.97
15523,2023,180.0
15523,2024,704.44
15530,2024,8000.0
15544,2023,74584.52
15544,2024,77943.7
15544,2025,64982.68
15544,2026,39290.08
15554,2023,16229.25
15554,2024,31383.13
15554,2025,23390.51
15554,2026,11659.62
15563,2023,403293.68
15563,2024,521283.03
15563,2025,1909607.63
15563,2026,368191.85
15567,2023,7649.9
15569,2023,265.0
15570,2023,229.7
15570,2024,60.0
15570,2025,25.0
15577,2023,18186.73
15577,2024,49898.94
15577,2025,18960.11
15577,2026,11420.85
15581,2023,10291.13
15581,2024,53968.58
15581,2025,26654.23
15581,2026,10760.81
15589,2023,44952.49
15589,2024,13868.77
15589,2025,76524.26
15589,2026,12750.15
15595,2023,59229.42
15595,2024,53187.25
15595,2025,16827.84
15604,2025,104054.87
15604,2026,65021.35
15609,2023,1319.73
15618,2023,5194.68
15618,2024,676.87
15618,2025,951.74
15618,2026,80358.88
15625,2023,7105.54
15625,2024,12095.17
15625,2025,13399.66
15625,2026,13452.37
15628,2025,10000.0
15628,2026,40.0
15630,2023,1307.87
15630,2024,13630.76
15630,2025,3201.4
15630,2026,2831.11
15632,2023,11756.85
15632,2024,3387.52
15632,2025,8759.61
15632,2026,360247.73
15636,2023,56571.67
15636,2024,2141.19
15636,2025,45342.72
15636,2026,1395.05
15637,2023,7809.94
15637,2024,9761.49
15637,2025,10910.7
15637,2026,8409.81
15674,2023,126.96
15680,2023,7663.57
15680,2024,1893.79
15692,2023,21382.44
15692,2024,3114.0
15692,2025,20213.58
15692,2026,1589.18
15700,2024,6690.99
15700,2025,109.01
15706,2023,7089.91
15706,2024,1205.13
15706,2025,3335.75
15709,2023,50983.38
15709,2024,73715.66
15709,2025,68505.55
15709,2026,35088.32
15710,2023,758323.52
15710,2024,900839.42
15710,2025,1085492.81
15710,2026,1364552.19
15711,2026,4707.46
15721,2023,46105.38
15721,2024,56885.87
15721,2025,54965.78
15721,2026,36203.33
15729,2023,1037.98
15736,2023,24.0
15736,2024,80.0
15736,2025,952.72
15740,2023,3889.61
15742,2023,2287.57
15742,2024,16039.42
15742,2025,8071.77
15742,2026,3813.71
15745,2023,6015.35
15745,2024,8955.39
15745,2025,11745.32
15745,2026,11935.66
15747,2024,1596.06
15748,2023,790.0
15751,2025,813.83
15772,2023,1089.67
15775,2023,6716.67
15775,2024,9306.08
15775,2025,8413.77
15775,2026,11192.28
15777,2023,2531.16
15779,2023,14086.49
15779,2024,21969.98
15779,2025,34507.99
15779,2026,18777.36
15782,2023,38326.95
15782,2024,42471.74
15782,2025,49629.45
15782,2026,34357.28
15786,2023,16864.53
15786,2024,3695.0
15786,2025,1015.68
15787,2023,32918.23
15787,2024,1405.95
