cmte_id,total_amount,total_count
C00334417,782.01,4
C00334706,39388.08,30
C00335257,10403.9,4
C00336057,9577.64,2
C00336743,22669.86,186
C00337394,3475.0,2
C00337626,1470.58,16
C00337733,3892719.83,818
C00337808,4915.16,6
C00338020,209722.22,63
C00339226,9200.0,28
C00339655,34548.99,35
C00340018,93.14,4
C00340075,22875.92,17
C00340356,3940.49,8
C00340364,1641.09,15
C00340455,528.0,9
C00341396,22435102.0,1302
C00341792,350.0,1
C00341800,2604.23,9
C00342022,7954.85,15
C00342394,486.45,4
C00342766,120.82,1
C00342857,249379.58,1321
C00342907,49716.82,40
C00342972,10776.9,7
C00343137,37745.29,114
C00343459,20765.05,19
C00343574,60635.96,24
C00343871,4806804.39,906
C00344010,195.85,4
C00344234,5240672.04,575
C00344325,41440.73,86
C00344473,610440.96,81
C00344648,60081.39,45
C00344697,44439.14,59
C00344721,588.42,16
C00344770,2447.15,53
C00344788,75784.29,28
C00345058,10790.41,5
C00345132,16720.29,19
C00345546,1319481.05,631
C00346130,179.7,6
C00346239,15967.58,5
C00346296,69137.33,3
C00346312,2170436.06,493
C00346619,7406.86,14
C00346726,5371.65,28
C00347195,262976.41,115
C00347260,11000.0,8
C00347476,22382.43,20
C00347492,168486.71,25
C00347591,75348.81,13
C00347955,2018.68,17
C00348219,12000.0,2
C00348243,1390.94,24
C00348540,393276.69,9
C00348607,1003007.97,293
C00349217,24066.43,15
C00349233,8650.0,6
C00349506,1071597.65,732
C00349746,1080.35,1
C00349902,318.28,22
C00350991,28528.62,121
C00351031,45301.03,53
C00351056,4250.0,7
C00351197,19398.11,59
C00351270,2420.98,19
C00351379,2100.0,4
C00351924,6900.0,15
C00352211,3285.07,3
C00352922,40.0,2
C00354332,8444.65,15
C00354548,11737.58,9
C00354605,5057.82,45
C00354688,998776.66,654
C00354753,2098.1,2
C00355289,500000.0,2
C00355677,7247.97,71
C00356477,2621.28,19
C00357863,4422.98,3
C00357905,88043.7,43
C00358051,2113.03,1
C00358234,40.0,2
C00358440,3115.03,15
C00358663,2183386.61,499
C00358812,10345.35,17
C00358903,13324.47,25
C00358994,364.14,3
C00359034,1011958.63,275
C00359380,5127.64,58
C00359463,2100.0,7
C00359539,46631.22,37
C00359661,100.88,5
C00359992,810.0,4
C00360008,3061.48,25
C00360354,1322.31,11
C00360362,593.4,9
C00361014,1608.55,8
C00361410,148426.79,89
C00361485,46652.15,27
C00361758,1301.18,8
C00362178,10515.23,19
C00362236,7799.0,7
C00362327,36.28,1
C00362624,27139.09,17
C00363317,252.7,2
C00363648,5338.46,6
C00363770,6305.16,1
C00363838,1669.45,7
C00363879,6084.72,20
C00363986,11927.32,25
